Type,Intervals,ClockTime
0,31,592.000000
1,31,5024.000000
2,31,5342.000000
0,32,608.000000
1,32,5607.000000
2,32,7220.000000
0,33,638.000000
1,33,5981.000000
2,33,6442.000000
0,34,646.000000
1,34,6483.000000
2,34,7046.000000
0,35,668.000000
1,35,7032.000000
2,35,7564.000000
0,36,731.000000
1,36,7596.000000
2,36,8202.000000
0,37,716.000000
1,37,8233.000000
2,37,8780.000000
0,38,756.000000
1,38,8880.000000
2,38,9498.000000
0,39,770.000000
1,39,10029.000000
2,39,10556.000000
0,40,780.000000
1,40,10252.000000
2,40,10816.000000
0,41,795.000000
1,41,10992.000000
2,41,11389.000000
0,42,832.000000
1,42,11788.000000
2,42,12253.000000
0,43,838.000000
1,43,12539.000000
2,43,14509.000000
0,44,872.000000
1,44,13462.000000
2,44,13838.000000
0,45,874.000000
1,45,14294.000000
2,45,14746.000000
0,46,896.000000
1,46,15224.000000
2,46,15710.000000
0,47,915.000000
1,47,16924.000000
2,47,16615.000000
0,48,932.000000
1,48,17215.000000
2,48,17552.000000
0,49,956.000000
1,49,18194.000000
2,49,18484.000000
0,50,975.000000
1,50,20108.000000
2,50,19635.000000
0,51,990.000000
1,51,20421.000000
2,51,20989.000000
0,52,1011.000000
1,52,21818.000000
2,52,23327.000000
0,53,1035.000000
1,53,22782.000000
2,53,23004.000000
0,54,1045.000000
1,54,24128.000000
2,54,25344.000000
0,55,1114.000000
1,55,25481.000000
2,55,25526.000000
0,56,1071.000000
1,56,26821.000000
2,56,28747.000000
0,57,1109.000000
1,57,28196.000000
2,57,28283.000000
0,58,1118.000000
1,58,30524.000000
2,58,29925.000000
0,59,1163.000000
1,59,31217.000000
2,59,31238.000000
0,60,1191.000000
1,60,33843.000000
2,60,32815.000000
0,61,1229.000000
1,61,34479.000000
2,61,35627.000000
0,62,1241.000000
1,62,36192.000000
2,62,36129.000000
0,63,1242.000000
1,63,38654.000000
2,63,37795.000000
0,64,1287.000000
1,64,40170.000000
2,64,39499.000000
0,65,1311.000000
1,65,41929.000000
2,65,41841.000000
0,66,1343.000000
1,66,43500.000000
2,66,44883.000000
0,67,1362.000000
1,67,45609.000000
2,67,45887.000000
0,68,1389.000000
1,68,48062.000000
2,68,47057.000000
0,69,1420.000000
1,69,50220.000000
2,69,49020.000000
0,70,1427.000000
1,70,52269.000000
2,70,51236.000000
0,71,1444.000000
1,71,54629.000000
2,71,53394.000000
0,72,1507.000000
1,72,57112.000000
2,72,55728.000000
0,73,1523.000000
1,73,60930.000000
2,73,62206.000000
0,74,1569.000000
1,74,61926.000000
2,74,61928.000000
0,75,1915.000000
1,75,63589.000000
2,75,64198.000000
0,76,1571.000000
1,76,66107.000000
2,76,66774.000000
0,77,1642.000000
1,77,69273.000000
2,77,68552.000000
0,78,1654.000000
1,78,71899.000000
2,78,71495.000000
0,79,2309.000000
1,79,74304.000000
2,79,75599.000000
0,80,1706.000000
1,80,77659.000000
2,80,77664.000000
0,20,464.000000
1,20,1644.000000
2,20,1884.000000
0,21,391.000000
1,21,1841.000000
2,21,2062.000000
0,22,415.000000
1,22,2059.000000
2,22,2498.000000
0,23,453.000000
1,23,2416.000000
2,23,3933.000000
0,24,462.000000
1,24,4495.000000
2,24,3077.000000
0,25,505.000000
1,25,2935.000000
2,25,3243.000000
0,26,482.000000
1,26,3612.000000
2,26,3433.000000
0,27,505.000000
1,27,3414.000000
2,27,3817.000000
0,28,515.000000
1,28,3765.000000
2,28,4140.000000
0,29,536.000000
1,29,4129.000000
2,29,4463.000000
0,30,556.000000
1,30,4524.000000
2,30,4855.000000
0,31,577.000000
1,31,4948.000000
2,31,7324.000000
0,32,935.000000
1,32,5698.000000
2,32,5894.000000
0,33,651.000000
1,33,5876.000000
2,33,6287.000000
0,34,630.000000
1,34,6386.000000
2,34,6786.000000
0,35,646.000000
1,35,6915.000000
2,35,7432.000000
0,36,672.000000
1,36,7555.000000
2,36,8021.000000
0,37,689.000000
1,37,8093.000000
2,37,8454.000000
0,38,708.000000
1,38,8772.000000
2,38,9282.000000
0,39,726.000000
1,39,9422.000000
2,39,9820.000000
0,40,748.000000
1,40,10101.000000
2,40,10905.000000
0,41,1145.000000
1,41,11266.000000
2,41,11666.000000
0,42,796.000000
1,42,11713.000000
2,42,12352.000000
0,43,826.000000
1,43,12475.000000
2,43,12805.000000
0,44,848.000000
1,44,13302.000000
2,44,13753.000000
0,45,889.000000
1,45,14178.000000
2,45,15328.000000
0,46,984.000000
1,46,16474.000000
2,46,17003.000000
0,47,875.000000
1,47,16510.000000
2,47,17389.000000
0,48,920.000000
1,48,17114.000000
2,48,17668.000000
0,49,1015.000000
1,49,18725.000000
2,49,19890.000000
0,50,948.000000
1,50,19715.000000
2,50,19861.000000
0,51,980.000000
1,51,20717.000000
2,51,21803.000000
0,52,1661.000000
1,52,27997.000000
2,52,22581.000000
0,53,1017.000000
1,53,22839.000000
2,53,24053.000000
0,54,1107.000000
1,54,24456.000000
2,54,26225.000000
0,55,1350.000000
1,55,37263.000000
2,55,26552.000000
0,56,1090.000000
1,56,27209.000000
2,56,27576.000000
0,57,1100.000000
1,57,28121.000000
2,57,28800.000000
0,58,1139.000000
1,58,30786.000000
2,58,31009.000000
0,59,1176.000000
1,59,31478.000000
2,59,32594.000000
0,60,1189.000000
1,60,32950.000000
2,60,42803.000000
0,61,2329.000000
1,61,35238.000000
2,61,37244.000000
0,62,1630.000000
1,62,39389.000000
2,62,37857.000000
0,63,1238.000000
1,63,38250.000000
2,63,38759.000000
0,64,1262.000000
1,64,40103.000000
2,64,41539.000000
0,65,1310.000000
1,65,42958.000000
2,65,58968.000000
0,66,2769.000000
1,66,45404.000000
2,66,48855.000000
0,67,1321.000000
1,67,45660.000000
2,67,45412.000000
0,68,1429.000000
1,68,47493.000000
2,68,62532.000000
0,69,2223.000000
1,69,52463.000000
2,69,55341.000000
0,70,1726.000000
1,70,52388.000000
2,70,52676.000000
0,71,2206.000000
1,71,56042.000000
2,71,70696.000000
0,72,2698.000000
1,72,60100.000000
2,72,58702.000000
0,73,1535.000000
1,73,60798.000000
2,73,70108.000000
0,74,3586.000000
1,74,67970.000000
2,74,68648.000000
0,75,1611.000000
1,75,63682.000000
2,75,63868.000000
0,76,1647.000000
1,76,68134.000000
2,76,87237.000000
0,77,1656.000000
1,77,72110.000000
2,77,71112.000000
0,78,1696.000000
1,78,71701.000000
2,78,86459.000000
0,79,3055.000000
1,79,81554.000000
2,79,80001.000000
0,80,1821.000000
1,80,81633.000000
2,80,79770.000000
0,20,633.000000
1,20,1739.000000
2,20,1907.000000
0,21,408.000000
1,21,1833.000000
2,21,2060.000000
0,22,417.000000
1,22,2004.000000
2,22,2258.000000
0,23,417.000000
1,23,2239.000000
2,23,2496.000000
0,24,464.000000
1,24,2510.000000
