Type,Intervals,ClockTime
0,264,1158.000000
1,264,414.000000
2,264,425.000000
0,265,1162.000000
1,265,413.000000
2,265,411.000000
0,266,1258.000000
1,266,422.000000
2,266,405.000000
0,267,1183.000000
1,267,437.000000
2,267,406.000000
0,268,1189.000000
1,268,409.000000
2,268,393.000000
0,269,1192.000000
1,269,427.000000
2,269,398.000000
0,270,1191.000000
1,270,419.000000
2,270,407.000000
0,271,1207.000000
1,271,444.000000
2,271,407.000000
0,272,1210.000000
1,272,430.000000
2,272,420.000000
0,273,1212.000000
1,273,438.000000
2,273,443.000000
0,274,1222.000000
1,274,448.000000
2,274,433.000000
0,275,1259.000000
1,275,435.000000
2,275,424.000000
0,276,1532.000000
1,276,697.000000
2,276,696.000000
0,277,1684.000000
1,277,420.000000
2,277,394.000000
0,278,1257.000000
1,278,444.000000
2,278,418.000000
0,279,1251.000000
1,279,428.000000
2,279,415.000000
0,280,1272.000000
1,280,438.000000
2,280,416.000000
0,281,1277.000000
1,281,433.000000
2,281,426.000000
0,282,1290.000000
1,282,421.000000
2,282,402.000000
0,283,1297.000000
1,283,459.000000
2,283,444.000000
0,284,1352.000000
1,284,510.000000
2,284,437.000000
0,285,1302.000000
1,285,442.000000
2,285,433.000000
0,286,1328.000000
1,286,448.000000
2,286,451.000000
0,287,1312.000000
1,287,448.000000
2,287,445.000000
0,288,1319.000000
1,288,452.000000
2,288,442.000000
0,289,1391.000000
1,289,468.000000
2,289,457.000000
0,290,1338.000000
1,290,477.000000
2,290,445.000000
0,291,1356.000000
1,291,451.000000
2,291,437.000000
0,292,1328.000000
1,292,442.000000
2,292,437.000000
0,293,1446.000000
1,293,454.000000
2,293,440.000000
0,294,1352.000000
1,294,451.000000
2,294,458.000000
0,295,1361.000000
1,295,456.000000
2,295,440.000000
0,296,1394.000000
1,296,467.000000
2,296,441.000000
0,297,1404.000000
1,297,453.000000
2,297,474.000000
0,298,1458.000000
1,298,456.000000
2,298,446.000000
0,299,1523.000000
1,299,464.000000
2,299,692.000000
0,300,1713.000000
1,300,537.000000
2,300,464.000000
0,301,1593.000000
1,301,483.000000
2,301,450.000000
0,302,1606.000000
1,302,464.000000
2,302,468.000000
0,303,1647.000000
1,303,461.000000
2,303,454.000000
0,304,1745.000000
1,304,468.000000
2,304,457.000000
0,305,1726.000000
1,305,468.000000
2,305,466.000000
0,306,1777.000000
1,306,465.000000
2,306,461.000000
0,307,1794.000000
1,307,476.000000
2,307,461.000000
0,308,1778.000000
1,308,472.000000
2,308,505.000000
0,309,1806.000000
1,309,472.000000
2,309,461.000000
0,310,1820.000000
1,310,478.000000
2,310,461.000000
0,311,1812.000000
1,311,475.000000
2,311,484.000000
0,312,1847.000000
1,312,480.000000
2,312,475.000000
0,313,1862.000000
1,313,479.000000
2,313,470.000000
0,314,1850.000000
1,314,503.000000
2,314,470.000000
0,315,1852.000000
1,315,485.000000
2,315,468.000000
0,316,1876.000000
1,316,490.000000
2,316,478.000000
0,317,1914.000000
1,317,517.000000
2,317,476.000000
0,318,1876.000000
1,318,488.000000
2,318,490.000000
0,319,1906.000000
1,319,484.000000
2,319,474.000000
0,320,1908.000000
1,320,487.000000
2,320,479.000000
0,321,1920.000000
1,321,491.000000
2,321,480.000000
0,322,2061.000000
1,322,502.000000
2,322,489.000000
0,323,1913.000000
1,323,768.000000
2,323,795.000000
0,324,2514.000000
1,324,819.000000
2,324,812.000000
0,325,2572.000000
1,325,657.000000
2,325,491.000000
0,326,1969.000000
1,326,494.000000
2,326,484.000000
0,327,1968.000000
1,327,511.000000
2,327,489.000000
0,328,2004.000000
1,328,506.000000
2,328,516.000000
0,329,1984.000000
1,329,497.000000
2,329,493.000000
0,330,2020.000000
1,330,521.000000
2,330,493.000000
0,331,2018.000000
1,331,512.000000
2,331,489.000000
0,332,2004.000000
1,332,517.000000
2,332,493.000000
0,333,2020.000000
1,333,503.000000
2,333,492.000000
0,334,2118.000000
